Date,Level,Context,Message
2025-03-31T17:33:21.977Z,LOG,ParkingLotService,"Initialized parking lot with 3 slots"
2025-03-31T17:33:21.980Z,LOG,ParkingLotService,"Initialized parking lot with 3 slots"
2025-03-31T17:33:21.980Z,LOG,ParkingLotService,"Initialized parking lot with 3 slots"
2025-03-31T17:33:21.981Z,LOG,ParkingLotService,"Allocated slot 1 to car KA-01-AB-2211"
2025-03-31T17:33:21.981Z,LOG,ParkingLotService,"Allocated slot 1 to car KA-01-AB-2211"
2025-03-31T17:33:21.983Z,LOG,ParkingLotService,"Initialized parking lot with 1 slots"
2025-03-31T17:33:21.983Z,LOG,ParkingLotService,"Initialized parking lot with 1 slots"
2025-03-31T17:33:21.984Z,LOG,ParkingLotService,"Allocated slot 1 to car KA-02-XY-9999"
2025-03-31T17:33:21.985Z,LOG,ParkingLotService,"Allocated slot 1 to car KA-02-XY-9999"
2025-03-31T17:33:21.997Z,LOG,ParkingLotService,"Initialized parking lot with 3 slots"
2025-03-31T17:33:21.997Z,LOG,ParkingLotService,"Initialized parking lot with 3 slots"
2025-03-31T17:33:21.997Z,LOG,ParkingLotService,"Allocated slot 1 to car KA-02-XY-9999"
2025-03-31T17:33:21.997Z,LOG,ParkingLotService,"Allocated slot 1 to car KA-02-XY-9999"
2025-03-31T17:33:21.998Z,LOG,ParkingLotService,"Freed slot 1"
2025-03-31T17:33:21.998Z,LOG,ParkingLotService,"Freed slot 1"
2025-03-31T17:33:21.999Z,LOG,ParkingLotService,"Initialized parking lot with 3 slots"
2025-03-31T17:33:22.000Z,WARN,ParkingLotService,"Slot 1 is already free"
2025-03-31T17:33:22.001Z,LOG,ParkingLotService,"Initialized parking lot with 3 slots"
2025-03-31T17:33:22.007Z,WARN,ParkingLotService,"Slot 1 is already free"
2025-03-31T17:33:22.537Z,LOG,ParkingLotService,"Initialized parking lot with 10 slots"
2025-03-31T17:33:22.542Z,LOG,ParkingLotService,"Allocated slot 1 to car WB012009"
2025-03-31T17:33:22.560Z,LOG,ParkingLotService,"Initialized parking lot with 10 slots"
2025-03-31T17:33:22.563Z,LOG,ParkingLotService,"Allocated slot 1 to car WB012009"
2025-03-31T17:33:22.572Z,LOG,ParkingLotService,"Initialized parking lot with 10 slots"
2025-03-31T17:33:22.574Z,LOG,ParkingLotService,"Allocated slot 1 to car WB012009"
2025-03-31T17:33:22.577Z,LOG,ParkingLotService,"Allocated slot 2 to car WB0120010"
2025-03-31T17:33:22.583Z,LOG,ParkingLotService,"Initialized parking lot with 10 slots"
2025-03-31T17:33:22.585Z,LOG,ParkingLotService,"Allocated slot 1 to car WB012009"
2025-03-31T17:33:22.587Z,LOG,ParkingLotService,"Freed slot 1"
